Agreement,Step,Δelement_count,Δroots,Δorphans,Δdepth,Δretyped
1,ConsecutivePageNumberClassifier,0,0,0,0,0
1,ContentClassifierV6,0,0,0,0,0
1,EarlyMetadataRemoverStep,0,0,0,0,0
1,EmptyElementClassifier,0,0,0,0,0
1,EnhancedClauseClassifierV6,0,0,0,0,0
1,EnhancedTOCDetector,0,0,0,0,0
1,FallbackTitleClassifier,0,0,0,0,0
1,HeadingClassifierV6,0,0,0,0,0
1,HierarchyBuilder,0,0,0,0,0
1,HtmlCommentRemoverStep,0,0,0,0,0
1,ImprovedMetadataRemoverv8,0,0,0,0,2
1,LateMetadataRemoverStep,0,0,0,0,0
1,LegalContentClassifierV6,0,0,0,0,0
1,MainTitleClassifierV6,0,0,0,0,0
1,OrphanAttacherStep,0,0,0,0,0
1,PageContinuationMerger,0,0,0,0,0
1,RepeatedHeaderFooterDetector,0,0,0,0,0
1,SmartSectionClassifierV6,0,0,0,0,0
1,TableClassifier,0,0,0,0,0
1,TableOfContentsClassifier,0,0,0,0,0
1,TableRootPromoter,0,0,0,0,0
1,TextClassifier,0,0,0,0,14
1,TextElementMerger,0,0,0,0,0
1,VisualHeadingDetector,0,0,0,0,0
2,ConsecutivePageNumberClassifier,0,0,0,0,0
2,ContentClassifierV6,0,0,0,0,0
2,EarlyMetadataRemoverStep,0,0,0,0,0
2,EmptyElementClassifier,0,0,0,0,0
2,EnhancedClauseClassifierV6,0,0,0,0,0
2,EnhancedTOCDetector,0,0,0,0,0
2,FallbackTitleClassifier,0,0,0,0,0
2,HeadingClassifierV6,0,0,0,0,0
2,HierarchyBuilder,0,0,0,0,0
2,HtmlCommentRemoverStep,0,0,0,0,0
2,ImprovedMetadataRemoverv8,0,0,0,0,49
2,LateMetadataRemoverStep,0,0,0,0,0
2,LegalContentClassifierV6,0,0,0,0,0
2,MainTitleClassifierV6,0,0,0,0,0
2,OrphanAttacherStep,0,0,0,0,0
2,PageContinuationMerger,0,0,0,0,0
2,RepeatedHeaderFooterDetector,0,0,0,0,0
2,SmartSectionClassifierV6,0,0,0,0,0
2,TableClassifier,0,0,0,0,0
2,TableOfContentsClassifier,0,0,0,0,0
2,TableRootPromoter,0,0,0,0,0
2,TextClassifier,0,0,0,0,28
2,TextElementMerger,0,0,0,0,0
2,VisualHeadingDetector,0,0,0,0,0
3,ConsecutivePageNumberClassifier,0,0,0,0,0
3,ContentClassifierV6,0,0,0,0,0
3,EarlyMetadataRemoverStep,0,0,0,0,0
3,EmptyElementClassifier,0,0,0,0,0
3,EnhancedClauseClassifierV6,0,0,0,0,6
3,EnhancedTOCDetector,0,0,0,0,0
3,FallbackTitleClassifier,0,0,0,0,0
3,HeadingClassifierV6,0,0,0,0,0
3,HierarchyBuilder,0,0,0,0,0
3,HtmlCommentRemoverStep,0,0,0,0,0
3,ImprovedMetadataRemoverv8,0,0,0,0,111
3,LateMetadataRemoverStep,0,0,0,0,0
3,LegalContentClassifierV6,0,0,0,0,0
3,MainTitleClassifierV6,0,0,0,0,0
3,OrphanAttacherStep,0,0,0,0,0
3,PageContinuationMerger,0,0,0,0,0
3,RepeatedHeaderFooterDetector,0,0,0,0,0
3,SmartSectionClassifierV6,0,0,0,0,0
3,TableClassifier,0,0,0,0,0
3,TableOfContentsClassifier,0,0,0,0,0
3,TableRootPromoter,0,0,0,0,0
3,TextClassifier,0,0,0,0,139
3,TextElementMerger,0,0,0,0,0
3,VisualHeadingDetector,0,0,0,0,0
