Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
1,EmptyElementClassifier,0,0,0,0,2
1,ImprovedMetadataRemoverV7,0,0,0,0,1
1,TextClassifier,0,0,0,0,9
2,ContentClassifierV6,10,0,10,1,0
2,EmptyElementClassifier,0,0,0,0,2
2,ImprovedMetadataRemoverV7,0,0,0,0,50
2,LegalContentClassifierV6,3,0,3,3,0
2,MainTitleClassifierV6,1,1,0,0,0
2,TextClassifier,0,0,0,0,39
3,ContentClassifierV6,25,0,25,1,0
3,EmptyElementClassifier,0,0,0,0,2
3,ImprovedMetadataRemoverV7,0,0,0,0,159
3,LegalContentClassifierV6,4,0,4,3,0
3,MainTitleClassifierV6,1,1,0,0,0
3,TextClassifier,0,0,0,0,122
4,ContentClassifierV6,127,0,127,1,0
4,EmptyElementClassifier,0,0,0,0,2
4,EnhancedClauseClassifierV6,26,0,26,2,0
4,HeadingClassifierV6,6,4,2,0,0
4,ImprovedMetadataRemoverV7,0,0,0,0,222
4,LegalContentClassifierV6,10,2,8,3,0
4,MainTitleClassifierV6,2,2,0,0,0
4,SmartSectionClassifierV6,20,10,10,3,0
4,TextClassifier,0,0,0,0,252
5,ContentClassifierV6,154,0,154,1,0
5,EmptyElementClassifier,0,0,0,0,2
5,EnhancedClauseClassifierV6,26,0,26,2,0
5,HeadingClassifierV6,6,4,2,0,0
5,ImprovedMetadataRemoverV7,0,0,0,0,230
5,LegalContentClassifierV6,14,3,11,3,0
5,MainTitleClassifierV6,2,2,0,0,0
5,SmartSectionClassifierV6,20,10,10,3,0
5,TextClassifier,0,0,0,0,640
6,ContentClassifierV6,346,0,346,1,0
6,EmptyElementClassifier,0,0,0,0,2
6,EnhancedClauseClassifierV6,76,0,76,3,0
6,EnhancedTOCDetector,1,1,0,1,0
6,HeadingClassifierV6,35,19,16,0,0
6,ImprovedMetadataRemoverV7,0,0,0,0,237
6,LegalContentClassifierV6,21,5,16,3,0
6,MainTitleClassifierV6,3,3,0,0,0
6,SmartSectionClassifierV6,26,16,10,3,0
6,TextClassifier,0,0,0,0,1013
7,ContentClassifierV6,353,0,353,1,0
7,EmptyElementClassifier,0,0,0,0,2
7,EnhancedClauseClassifierV6,76,0,76,3,0
7,EnhancedTOCDetector,1,1,0,1,0
7,HeadingClassifierV6,42,25,17,0,0
7,ImprovedMetadataRemoverV7,0,0,0,0,246
7,LegalContentClassifierV6,23,5,18,3,0
7,MainTitleClassifierV6,4,4,0,0,0
7,SmartSectionClassifierV6,26,16,10,3,0
7,TextClassifier,0,0,0,0,1055
8,ContentClassifierV6,377,0,377,2,0
8,EmptyElementClassifier,0,0,0,0,2
8,EnhancedClauseClassifierV6,76,0,76,3,0
8,EnhancedTOCDetector,1,1,0,1,0
8,HeadingClassifierV6,48,31,17,0,0
8,ImprovedMetadataRemoverV7,0,0,0,0,254
8,LegalContentClassifierV6,24,5,19,3,0
8,MainTitleClassifierV6,5,5,0,0,0
8,SmartSectionClassifierV6,26,16,10,3,0
8,TextClassifier,0,0,0,0,1086
9,ContentClassifierV6,377,0,377,2,0
9,EmptyElementClassifier,0,0,0,0,2
9,EnhancedClauseClassifierV6,76,0,76,3,0
9,EnhancedTOCDetector,1,1,0,1,0
9,HeadingClassifierV6,48,31,17,0,0
9,ImprovedMetadataRemoverV7,0,0,0,0,255
9,LegalContentClassifierV6,24,5,19,3,0
9,MainTitleClassifierV6,5,5,0,0,0
9,SmartSectionClassifierV6,26,16,10,3,0
9,TextClassifier,0,0,0,0,1094
10,ContentClassifierV6,390,0,390,4,0
10,EmptyElementClassifier,0,0,0,0,2
10,EnhancedClauseClassifierV6,76,0,76,3,0
10,EnhancedTOCDetector,1,1,0,1,0
10,HeadingClassifierV6,48,31,17,0,0
10,ImprovedMetadataRemoverV7,0,0,0,0,278
10,LegalContentClassifierV6,24,5,19,3,0
10,MainTitleClassifierV6,5,5,0,0,0
10,SmartSectionClassifierV6,26,16,10,3,0
10,TextClassifier,0,0,0,0,1132
11,ContentClassifierV6,412,0,412,4,0
11,EmptyElementClassifier,0,0,0,0,2
11,EnhancedClauseClassifierV6,76,0,76,3,0
11,EnhancedTOCDetector,1,1,0,1,0
