AGREEMENT 024 - PARSER V8
==================================================
Total Elements: 13
Root Elements: 0
Orphan Elements: 13
Orphan Rate: 100.0%

ELEMENT DETAILS:
NO ROOT ELEMENTS FOUND

ORPHAN ELEMENTS (No Valid Parent):
==================================================
ORPHAN: [ContentTextElement | ID:ContentTextElement_13 | L4 | Parent:None] discretionary and may be subject to achievement of performance targets established by the Company for such year. To earn an annual bonus, you must be ...
ORPHAN: [ContentTextElement | ID:ContentTextElement_14 | L4 | Parent:None] 8. At-Will Employment; Date of Termination. At all times, your employment with the Company is at will, meaning you or the Company may terminate it a...
ORPHAN: [ContentTextElement | ID:ContentTextElement_15 | L4 | Parent:None] (b) Notwithstanding anything to the contrary in any applicable equity-based award agreement or plan, the unvested portion of your then outstanding equ...
ORPHAN: [ContentTextElement | ID:ContentTextElement_16 | L4 | Parent:None] The amounts payable under Section 10(a) and (c), to the extent taxable, shall be paid out in substantially equal installments in accordance with the C...
ORPHAN: [ContentTextElement | ID:ContentTextElement_17 | L4 | Parent:None] occurs (in each case, calculating by reference to your Base Salary rate as in effect immediately prior to your termination, but without giving effect ...
ORPHAN: [ContentTextElement | ID:ContentTextElement_18 | L4 | Parent:None] 12. Continuing Obligations.     (a) EIACN Agreement. As a condition of your employment, you are required to enter into an Employee Invention Assignmen...
ORPHAN: [ContentTextElement | ID:ContentTextElement_19 | L4 | Parent:None] (d) Relief. You agree that it would be difficult to measure any damages caused to the Company which might result from your breach of any of the Contin...
ORPHAN: [ContentTextElement | ID:ContentTextElement_20 | L4 | Parent:None] Company shall bear all costs that Independent Tax Counsel may reasonably incur in connection with any calculations contemplated by this Section. In th...
ORPHAN: [ContentTextElement | ID:ContentTextElement_21 | L4 | Parent:None] payable on an installment basis, the first payment shall include a catch-up payment covering amounts that would otherwise have been paid during the si...
ORPHAN: [ContentTextElement | ID:ContentTextElement_22 | L4 | Parent:None] 15. Withholding; Tax Effect. All forms of compensation referred to in this Agreement are subject to reduction to reflect applicable withholding and pa...
ORPHAN: [ContentTextElement | ID:ContentTextElement_23 | L4 | Parent:None] such transaction. This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors...
ORPHAN: [ContentTextElement | ID:ContentTextElement_24 | L4 | Parent:None] 23. Other Terms. The provisions of this Agreement shall survive the termination of this Agreement and/or the termination of your employment to the ext...
ORPHAN: [ContentTextElement | ID:ContentTextElement_25 | L4 | Parent:None] Sincerely,   /s/ Cameron Turtle Name:   Cameron Turtle Title:   Chief Operating Officer Accepted and acknowledged:   /s/ Heidy King-Jones Heidy King-J...
